"CompetitorID","FName","LName","ClubRef","DoB","Gender","Phone"
1,"Amy","DENNIS","CAR67",16/1/1995 00:00:00,"F","01125 521574"
2,"David","HAWK","CAR67",20/3/1988 00:00:00,"M","01125 673724"
3,"Fred","GILROY","CAR62",23/3/1993 00:00:00,"M","01125 666273"
4,"Jason","BROWN","CAR67",8/7/1997 00:00:00,"M","01126 609166"
5,"Blake","FANCROPPER","PEN01",22/11/1971 00:00:00,"M","01126 691224"
6,"James","GILROY","SWA44",11/5/1974 00:00:00,"M","01126 316345"
7,"Stuart","SPEARS","CAR67",25/7/1994 00:00:00,"M","01125 606995"
8,"Francesca","CHUNG","CAR67",24/4/1997 00:00:00,"F","01125 446171"
9,"Matt","DENNIS","SWA44",11/12/1972 00:00:00,"M","01125 650972"
10,"Tony","SKULLY","CAR67",13/9/1981 00:00:00,"M","01126 489711"
11,"Simon","RAZWANA","CAR67",25/8/1973 00:00:00,"M","01126 258516"
12,"Sarah","CHUNG","CAR67",1/1/1995 00:00:00,"F","01125 614867"
13,"Lee","FANCROPPER","CAR62",18/12/1974 00:00:00,"M","01126 425775"
14,"Nina","SLATER","CAR62",25/6/1977 00:00:00,"F","01126 399361"
15,"Martha","YO","CAR67",22/5/1994 00:00:00,"F","01126 451328"
16,"Tahira","PUDEE","CAR67",13/6/1977 00:00:00,"F","01125 669479"
17,"Sarah","SLATER","SWA44",10/3/1973 00:00:00,"F","01125 674869"
18,"Mical","SLATER","CAR62",5/1/1985 00:00:00,"M","01125 587607"
19,"Andrew","KELSON","SWA44",24/2/1991 00:00:00,"M","01125 259403"
20,"David","HAWK","NONE",15/11/1995 00:00:00,"M","01125 599434"
21,"Felicity","BRANDWARD","PEN01",30/10/1982 00:00:00,"F","01126 352501"
22,"Sara","YO","NONE",3/11/1993 00:00:00,"F","01126 635640"
23,"Jason","ROBERTS","SWA44",28/3/1997 00:00:00,"M","01126 649501"
24,"Claire","SINGH","SWA44",5/12/1977 00:00:00,"F","01125 353500"
25,"Rhonda","CASEY","CAR67",1/1/1990 00:00:00,"F","01126 403926"
