Member ref,Member name,Email,Date of birth,e-letter
CO14,Gary Cox,coxgary@chat.com,14/05/2000,FALSE
ED12,Simon Edwards,sedw@chat.com,12/09/1950,TRUE
GR07,Jon Green,greenjon45@virgin.net,07/10/1987,FALSE
GR09,Natasha Green,greennat@talk.org,09/09/1985,FALSE
GR23,Tom Greening,greening89@fortran.net,23/07/1959,TRUE
HA02,Julia Harding,julesharding@fortran.net,02/06/1965,TRUE
HA21,Sam Hayes,samhayes@talk.org,21/04/2001,FALSE
HO05,Morgan Howells,morgan21@chat.com,05/09/2009,TRUE
HU12,Allan Hughes,allanhughes@chat.com,12/03/1964,TRUE
JA01,Celia Jarrett,jarrettc@chat.com,01/03/1978,TRUE
JE27,Jemima Jennings,jemjen@chat.com,27/04/2000,TRUE
JO03,Lauren Jones,lauren34@fortran.net,03/11/1999,TRUE
JO25,Brien Jones,brijon@fortran.net,25/09/1957,TRUE
LA04,Rosalind Lewis,langros@chat.net,04/02/1999,TRUE
LA14,Isaac Long,langi@virgin.net,14/06/1976,TRUE
LI25,Carol Lister,listerc@virgin.net,25/12/2000,TRUE
MA05,Melody Martin,melody@fortran.net,05/07/1968,FALSE
MA12,Clare Marshall,clarem@fortran.net,12/07/1956,TRUE
OW29,Aled Owen,aledowen@chat.com,29/07/1986,TRUE
PA14,Matthew Parry,parrym@talk.net,14/06/1967,TRUE
PE05,Peter Perrin,peterp@talk.net,05/10/1989,TRUE
PH08,Sally Phillips,phillipss@virgin.net,08/08/1988,TRUE
PU23,Angela Pugh,pughange@chat.com,23/10/1989,FALSE
PU24,Ian Pugh,pughian@chat.com,24/08/2000,TRUE
SM14,Stacey Smith,smithstacey@chat.com,14/07/1998,TRUE
SM25,Sylvia Smith,smithsylv@virgin.net,25/12/1976,FALSE
SO12,Alana Solomon,alana@talk.net,12/05/1996,TRUE
ST02,Suzy Stephens,suzys@chat.com,02/05/1980,TRUE
TA06,Maddie Taylor,maddie22@virgin.net,06/08/1960,FALSE
WA17,Beverley Walker,walkerb22@virgin.net,17/09/1968,FALSE
WI30,Janice Williams,williamsj@virgin.net,30/09/1964,TRUE
YO13,Tomos Young,tomy@talk.net,13/02/1980,TRUE
