Date of hire,Boat ID,Customer name,Customer address,Country,Customer email
Week 27,CR439,Mala,"2345 Tuen Mun Road, Tuen Mun",Hong Kong,malag@tiger.com
Week 27,CR527,Jowlett,"23, Rue des Archers, Leon",France,jow@capital.com
Week 27,SA413,Garcia,"167, La Ramba, Menorca",Spain,garcia@doodle.com
Week 27,SA485,Yeo,"879, Victoria Lane, Alexandra",Singapore,yeolop@virgil.com
Week 27,SP454,Chong,"Bridge Cottage, Zion Road,",Singapore,chong@virgil.com
Week 27,WA441,Chun,"234, Po Street, Kowloon",Hong Kong,chun@tiger.com
Week 28,OC514,Girard,"54, Rue Pernon, Paris",France,girardpl@temper.com
Week 28,OC535,Lee,"145, Knights Bridge, Holland Village",Singapore,lee123@mail.com
Week 28,SM322,Lim,"Sunny View, York Place, Marina Bay",Singapore,limmy@xerox.com
Week 28,SP484,Angels,"Long House, Middle Lane, Southport",United Kingdom,angelsguy@optic.com
Week 28,SS384,Spiteri,"76, Luqa Road, Valletta",Malta,spiteri@smilie.com
Week 28,SS443,Wong,"34, Man Po Road, Sai Kung",Hong Kong,wonglee@email.com
Week 29,CR421,Chan,"105 Kennedy Road, Wan Chai",Hong Kong,chan@email.com
Week 29,SA393,Tan,"345, Jalan Kuala, Bishan",Singapore,poltan@kuala.com
Week 29,SA474,Diaz,"987, Via Espana, Barcelona",Spain,diazght@yanoo.com
Week 29,SM423,Tyler,"24 Highgrove Place, Huddersfield",United Kingdom,tyler@virgil.com
Week 29,SM504,Williams,"12 Long Street, Cardiff",United Kingdom,will@optic.com
Week 29,WA449,Giminez,"Canasta, La Gran Via, Madrid",Spain,giminezpot@yanoo.com
Week 30,OC485,Devereux,"Chamonix House, Rue de Brest, Florac",France,devereux@btchat.com
Week 30,SO321,Stephenson,"Windy Ridge, Highland Road, Inverness",United Kingdom,stephens456@talkie.com
Week 30,SO483,Borg,"90, Qawra Terrace, Sliema",Malta,borg@smilie.com
Week 30,SP440,Sanz,"Bueno Vista, Calle Aida, Alicante",Spain,sanztre@doodle.com
Week 30,SS404,Benoit,"123, Avenue Pasteur, Lille",France,benoit@capital.com
Week 30,SS444,Galea,"Valletta House, College Road, Mdina",Malta,galearoy@smilie.com
Week 30,WA473,Andrews,"Sea View, Main Road, Truro",United Kingdom,Andrewstom@optic.com
